team	OPRE	DPRE	off_aPPD	def_aPPD	net_aPPD	AP
Nevada	-0.46017552629577496	-0.09378035088857004	-0.7335889706053693	-0.24841870537042698	-0.48517026523494233	NR
New Mexico	-0.4850201026822074	-0.08112198155931097	-0.687222573886838	0.11700815041280421	-0.8042307242996423	NR
New Mexico State	-0.8043280655381002	0.48178579180084696	-1.0989607284944347	0.8603635208288004	-1.959324249323235	NR
North Carolina	-0.657651130247749	0.17304382959469786	-0.4437078695112987	0.3521699648805111	-0.7958778343918098	NR
North Texas	0.39646765948928336	-0.7561748672855396	0.19670332108324265	-0.19605313109987002	0.39275645218311267	NR
Northern Illinois	-0.8717054721956073	-0.6243911528841299	-0.7398103346552906	-0.5190390008765975	-0.22077133377869307	NR
Northwestern	-0.5740501042639214	-0.4513101331261472	-0.1424927905155114	-0.6063610326160983	0.4638682421005869	NR
Notre Dame	0.6700485694704889	-0.6705234758677713	0.6651494133800964	-0.756983016563407	1.4221324299435034	NR
Ohio	1.1460976386513857	0.1735196802798571	0.8989852246062406	0.5956855012128388	0.30329972339340183	NR
Ohio State	0.9458480858242376	-0.2474905257777507	0.9207349756677926	-0.27149833728725337	1.192233312955046	NR
Oklahoma	2.0297431516829665	0.31399063773875563	2.2868166333023936	0.1276337229658608	2.1591829103365328	NR
Oklahoma State	0.47425304658004885	0.33288170466385203	0.5580322240500455	0.2106537019732988	0.3473785220767467	NR
Old Dominion	-0.1286359324294949	1.0127192012166748	-0.5298203343340038	1.5497536178020244	-2.079573952136028	NR
Ole Miss	0.6381301171612296	0.6343039886330003	1.10918452382398	0.2579406051617414	0.8512439186622385	NR
Oregon	0.18176092825495324	-0.2307600167500268	0.04565412491299238	-0.03441264311724005	0.08006676803023244	NR
Oregon State	-0.38081409448540077	1.6998895681357664	-0.17799277529793164	1.6537043444416935	-1.831697119739625	NR
Penn State	0.24019865856094277	-0.5616991359676395	0.5128159994794371	-0.7493873982745219	1.262203397753959	NR
Pittsburgh	-0.01695827229657421	0.3945944833645751	0.1670623969470059	0.06189521650887047	0.10516718043813542	NR
Purdue	0.5048612103362521	-0.18143522136129756	0.8751715191704984	-0.46214807500740174	1.3373195941779001	NR
Rice	-0.9661757947808431	0.9189025533654724	-1.3431587114182097	1.138042524614167	-2.4812012360323767	NR
Rutgers	-1.0843895967710888	0.24257650150275867	-1.0656585792293747	0.2735935213078753	-1.33925210053725	NR
SMU	-0.8329918940802734	0.20021400681710297	-0.6038953018440664	-0.0023477440373442814	-0.6015475578067221	NR
San Diego State	-0.43960043020412043	-0.7291732374184386	-0.4785912546424704	-0.6320868327138928	0.1534955780714224	NR
San José State	-0.8839132717533635	0.29854003684824626	-1.2341806686362136	0.20811796494650023	-1.4422986335827137	NR
South Alabama	-0.6439617905184652	0.8467607562761899	-0.7302423041896786	1.2276638875024388	-1.9579061916921174	NR
South Carolina	0.45880530724389207	0.19799194193862968	0.9646804942339678	-0.5954891511865118	1.5601696454204796	NR
South Florida	0.3454265620507874	0.23486062842450459	-0.3997891990814922	0.48119767034697836	-0.8809868694284706	NR
Southern Mississippi	-0.6726552208857425	-0.8039084137023612	-0.9036617805500046	-0.15133349043190691	-0.7523282901180977	NR
Stanford	0.0021835910548086614	0.20907831565470805	0.3865489521826359	-0.15051779980208255	0.5370667519847184	NR
Syracuse	0.1463690406050203	-0.027605775710815215	-0.03032145459436245	-0.028495981430520543	-0.0018254731638419064	NR
TCU	-0.6077967411949613	-0.3948372812603362	-0.3656120427112062	-0.8871066341358438	0.5214945914246376	NR
Temple	-0.10591505931508276	-0.6142764004424424	0.05744203494347634	-0.5702908792894569	0.6277329142329332	NR
Tennessee	-0.45734381120429357	0.2290078250914465	0.2386549877974587	-0.3179674028934733	0.556622390690932	NR
Texas	0.5157113616329564	0.058901046124162144	0.7751755453478267	-0.19096332184552886	0.9661388671933556	NR
Texas A&M	-0.03974287204341476	-0.03181512723251989	0.933130654683248	-0.5865871526639398	1.5197178073471878	NR
Texas State	-0.7276669399155925	-0.3153775635306902	-1.6763436482486505	0.23708919645980878	-1.9134328447084592	NR
Texas Tech	0.4754539395858188	0.26542714948270535	0.6340835359855491	-0.36949794035529615	1.0035814763408453	NR
Toledo	0.3131335152879916	0.26934517609127506	0.2725733840714309	0.48568312839678845	-0.21310974432535756	NR
Troy	0.20500267806132993	-0.2747437348303026	-0.5865491227540831	-0.20501024881419347	-0.3815388739398896	NR
Tulane	-0.4894515320402771	-0.27301987122691457	-0.4196882006964925	-0.06484131461220063	-0.3548468860842918	NR
Tulsa	-0.642849640764175	-0.06802751424917516	-0.9486498893697242	0.017192948658677796	-0.965842838028402	NR
UAB	0.41385140526572756	-1.1221305276540507	-0.08207716805562046	-0.43883618041495914	0.3567590123593387	NR
UCF	1.678219943391234	-0.2868351386136808	1.3695892653806516	0.003722016651980401	1.3658672487286712	NR
